Reference,Control,Measure,Sate_1,Sate_2,Sate_3
9.064514534608998,0.0,0.0,0.0,0.0,0.0
9.064514534608998,1160.6204410113362,0.0,15.003194879721871,1.1605706308438057,1.653412955401595
9.064514534608998,-84.07463016232559,1.653412955401595,16.89781187616817,1.040686684615359,4.773402968578436
9.064514534608998,-294.77263047053793,4.773402968578436,15.703968130820082,0.7114638884643444,7.255223554649009
9.064514534608998,-294.77263047053793,7.255223554649009,13.613856381249759,0.39031169859407433,8.815031049768319
9.064514534608998,-226.02940405407273,8.815031049768319,11.553350574945572,0.14640381216500317,9.574259482880771
9.064514534608998,-92.85823266257411,9.574259482880771,10.569722939658636,0.04244268862985771,9.841264701325173
9.064514534608998,-92.85823266257411,9.841264701325173,9.313081258087417,-0.05855615894865688,9.8177092405838
9.064514534608998,-23.65137966114763,9.8177092405838,8.690799121205147,-0.08726792819701737,9.610756927524172
9.064514534608998,-23.65137966114763,9.610756927524172,7.998900471095252,-0.11492243615806241,9.323899306453622
9.064514534608998,25.265011069420133,9.323899306453622,7.873811259872025,-0.09258121207601028,9.029854778972846
9.064514534608998,34.75693073176481,9.029854778972846,7.935644004094259,-0.06115557686463091,8.812101184089542
9.064514534608998,29.118411278039908,8.812101184089542,8.011000534677152,-0.036103039124892,8.674375547059539
9.064514534608998,29.118411278039908,8.674375547059539,8.154815002146663,-0.011654077072431374,8.60682648900802
9.064514534608998,18.90561985577948,8.60682648900802,8.232259381905399,0.0019455674196858421,8.593145833396948
9.064514534608998,18.90561985577948,8.593145833396948,8.34626308533417,0.015192643329047685,8.617524632546196
9.064514534608998,6.481153237087194,8.617524632546196,8.334632591775907,0.015646052699498498,8.661238856282731
9.064514534608998,1.5116578076198763,8.661238856282731,8.260215384214904,0.011128119034344056,8.699156289007151
9.064514534608998,1.5116578076198763,8.699156289007151,8.174455998793158,0.006760520922747418,8.724477374663705
9.064514534608998,2.0323474813313043,8.724477374663705,8.084690689520436,0.00306834815853613,8.73837647645018
9.064514534608998,2.0323474813313043,8.73837647645018,7.986133812647376,-0.00048122125363097385,8.742009682815524
9.064514534608998,4.417949538411091,8.742009682815524,7.91016552317484,-0.0014998344042239172,8.739183936496831
9.064514534608998,5.79199985578208,8.739183936496831,7.850378607564869,-0.0010701906165734333,8.735533271437523
9.064514534608998,5.950309153569238,8.735533271437523,7.7948197371651675,-0.0004509360826605905,8.73337106820194
9.064514534608998,5.824141089619115,8.73337106820194,7.740269296622389,6.64011109247878e-05,8.732819636417577
9.064514534608998,5.824141089619115,8.732819636417577,7.688058055737085,0.0006095421506525059,8.733771946475766
9.064514534608998,5.575646970371632,8.733771946475766,7.6350069659326145,0.0009278393820189319,8.735944075847922
9.064514534608998,5.333607290694257,8.735944075847922,7.580587758020002,0.0010332755318209924,8.738715551416258
9.064514534608998,5.239513125700698,8.738715551416258,7.526143252823249,0.0010794145289720553,8.741701582186455
9.064514534608998,5.186161920002678,8.741701582186455,7.472035570584941,0.0011083217960675819,8.744793959621958
9.064514534608998,5.186161920002678,8.744793959621958,7.418900877381732,0.0011734963188997833,8.748020040272275
9.064514534608998,5.103278463258837,8.748020040272275,7.365752601225407,0.0011905952061679829,8.751362499308634
9.064514534608998,5.048121898908639,8.751362499308634,7.312815632492421,0.0011884130509485155,8.754726040475974
9.064514534608998,5.011020499399314,8.754726040475974,7.260266238692453,0.001185285089945471,8.758082113432144
9.064514534608998,4.977144150933542,8.758082113432144,7.20813708478244,0.0011841927348461541,8.761432283336346
9.064514534608998,4.977144150933542,8.761432283336346,7.156864817219904,0.0012186793872664167,8.76483010940732
9.064514534608998,4.9046035077154135,8.76483010940732,7.1055965646663335,0.0012148388834802271,8.768271184170331
9.064514534608998,4.8606314426527,8.768271184170331,7.054594929729164,0.001202080598975596,8.771688729049492
9.064514534608998,4.82718125332565,8.771688729049492,7.003966718240193,0.0011909406653197786,8.77507246766358
9.064514534608998,4.795240509624511,8.77507246766358,6.953729785165422,0.0011826380983878627,8.778428725058717
9.064514534608998,4.795240509624511,8.778428725058717,6.9042984640467076,0.0012087828599458904,8.781810579400773
9.064514534608998,4.725197094706601,8.781810579400773,6.854849862177157,0.0011980258224624286,8.785214057294532
9.064514534608998,4.725197094706601,8.785214057294532,6.806187039093741,0.0012212325270531841,8.78863548253725
9.064514534608998,4.646771665202396,8.78863548253725,6.757377730576085,0.0011986963772755614,8.792057604036353
9.064514534608998,4.608657869319364,8.792057604036353,6.708818190989113,0.0011718353976845194,8.79540972435084
9.064514534608998,4.608657869319364,8.79540972435084,6.660984959873636,0.0011786867151673203,8.798733769884912
9.064514534608998,4.546034406147351,8.798733769884912,6.613150324503124,0.0011553911255002608,8.802034353717108
9.064514534608998,4.546034406147351,8.802034353717108,6.5660399591496565,0.0011652348245160087,8.805316155191534
9.064514534608998,4.479962373098423,8.805316155191534,6.518880011262314,0.001140924206026457,8.808577269783406
9.064514534608998,4.479962373098423,8.808577269783406,6.472430379701681,0.001149315074558838,8.811816099332544
9.064514534608998,4.4138781763862465,8.811816099332544,6.4259160668103625,0.0011231208274695894,8.815029507921203
9.064514534608998,4.383038094143061,8.815029507921203,6.379697513318435,0.0010983904670901078,8.818170786808444
9.064514534608998,4.383038094143061,8.818170786808444,6.334172579054256,0.0011057287627748717,8.821287687720462
9.064514534608998,4.324494055253839,8.821287687720462,6.288662251812689,0.001085414282548997,8.824386058125643
9.064514534608998,4.324494055253839,8.824386058125643,6.2438461466939925,0.0010965880797803654,8.827471744067378
